סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
197       ,מעברות                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1073      ,106       ,188       ,328       ,114       ,89        ,248
198       ,צופית                    ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1111      ,55        ,275       ,309       ,213       ,89        ,170
199       ,אשדות יעקב  )איחוד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1027      ,84        ,277       ,339       ,116       ,71        ,140
200       ,בית ינאי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,411       ,24        ,80        ,113       ,67        ,43        ,84
202       ,בית עובד                 ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,339       ,19        ,74        ,91        ,53        ,24        ,78
204       ,אלישיב                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,705       ,55        ,179       ,239       ,78        ,50        ,104
205       ,חגלה                     ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,794       ,51        ,249       ,208       ,163       ,47        ,76
206       ,רמות השבים               ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1609      ,118       ,334       ,506       ,221       ,164       ,266
207       ,גבעת ח"ן                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,408       ,34        ,80        ,124       ,47        ,37        ,86
208       ,מוצא עילית               ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1206      ,83        ,197       ,341       ,160       ,128       ,297
212       ,בית צבי                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,117       ,23        ,24        ,61        ,2         ,3         ,4
213       ,משמרות                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1142      ,118       ,380       ,351       ,163       ,41        ,89
217       ,כפר הרא"ה                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,1253      ,144       ,379       ,380       ,127       ,66        ,157
218       ,גני עם                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,264       ,12        ,39        ,71        ,44        ,32        ,66
219       ,חיבת ציון                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,770       ,98        ,189       ,258       ,76        ,61        ,88
220       ,כפר ביאליק               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,673       ,59        ,153       ,210       ,79        ,45        ,127
223       ,עין עירון                ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,566       ,54        ,112       ,201       ,77        ,54        ,68
224       ,שושנת העמקים             ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,602       ,58        ,89        ,221       ,72        ,55        ,107
225       ,גן השומרון               ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,881       ,74        ,179       ,295       ,113       ,88        ,132
229       ,גני תקווה                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,22386     ,2257      ,5035      ,7040      ,2781      ,1729      ,3544
230       ,מעש                      ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,953       ,104       ,181       ,286       ,117       ,69        ,196
232       ,שפיים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1475      ,140       ,303       ,492       ,193       ,110       ,237
233       ,כפר ידידיה               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,716       ,47        ,191       ,200       ,125       ,36        ,117
234       ,ביצרון                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1240      ,111       ,298       ,396       ,171       ,90        ,174
235       ,חבצלת השרון              ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,482       ,29        ,90        ,132       ,68        ,42        ,121
237       ,שער העמקים               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,769       ,81        ,126       ,233       ,92        ,62        ,175
239       ,גן חיים                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,723       ,51        ,143       ,230       ,102       ,90        ,107
240       ,יקנעם עילית              ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,25934     ,2241      ,5426      ,9328      ,3680      ,2158      ,3101
241       ,יקנעם )מושבה(            ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1434      ,130       ,300       ,468       ,164       ,102       ,270
242       ,בית השיטה                ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1541      ,111       ,333       ,480       ,204       ,103       ,310
246       ,נתיבות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,41599     ,6556      ,10924     ,15560     ,3296      ,2434      ,2829
247       ,רשפון                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1331      ,108       ,308       ,433       ,202       ,116       ,164
248       ,בית שערים                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,746       ,73        ,181       ,228       ,101       ,42        ,121
249       ,כפר סירקין               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,1484      ,128       ,386       ,448       ,222       ,103       ,197
250       ,הזורע                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1283      ,84        ,182       ,427       ,145       ,104       ,341
252       ,ביתן אהרן                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,272       ,14        ,35        ,58        ,18        ,13        ,134
253       ,חולתה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,700       ,81        ,157       ,247       ,65        ,43        ,107
254       ,כפר המכבי                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,446       ,39        ,86        ,140       ,49        ,39        ,93
255       ,כפר חיטים                ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,723       ,38        ,181       ,248       ,104       ,73        ,79
256       ,ניר דוד )תל עמל(         ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,885       ,74        ,184       ,286       ,103       ,73        ,165
257       ,נופך                     ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,574       ,82        ,101       ,218       ,53        ,58        ,62
259       ,שדה נחום                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,915       ,83        ,253       ,315       ,147       ,46        ,71
262       ,גינוסר                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,726       ,50        ,118       ,227       ,79        ,53        ,199
263       ,מסדה                     ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,354       ,34        ,47        ,137       ,38        ,29        ,69
